Model,Gen_Balls_Pur,Gen_Balls_Num,CV_Score,Test_Score,Best_Params
OVR_GBTSVM,7,3,,0.7419354838709677,"{'d1': 0.01, 'd2': 0.01, 'eps1': 0.01, 'eps2': 0.01}"
OvO_GBTSVM,7,3,,0.7419354838709677,"{'d1': 0.01, 'd2': 0.01, 'eps1': 0.01, 'eps2': 0.01}"
OVR_GBTSVM,5,2,,0.7096774193548387,"{'d1': 0.01, 'd2': 0.01, 'eps1': 0.01, 'eps2': 0.01}"
OVR_GBTSVM,1,2,,0.7096774193548387,"{'d1': 0.01, 'd2': 0.01, 'eps1': 0.01, 'eps2': 0.01}"
OVR_GBTSVM,7,2,,0.7096774193548387,"{'d1': 0.01, 'd2': 0.01, 'eps1': 0.01, 'eps2': 0.01}"
OVR_GBTSVM,2,2,,0.7096774193548387,"{'d1': 0.01, 'd2': 0.01, 'eps1': 0.01, 'eps2': 0.01}"
OVR_GBTSVM,2,3,,0.7096774193548387,"{'d1': 0.01, 'd2': 0.01, 'eps1': 0.01, 'eps2': 0.01}"
OvO_GBTSVM,5,2,,0.6451612903225806,"{'d1': 0.01, 'd2': 0.01, 'eps1': 0.01, 'eps2': 0.01}"
OvO_GBTSVM,10,3,,0.6451612903225806,"{'d1': 0.01, 'd2': 0.01, 'eps1': 0.01, 'eps2': 0.01}"
OVR_GBTSVM,10,2,,0.6451612903225806,"{'d1': 0.01, 'd2': 0.01, 'eps1': 0.01, 'eps2': 0.01}"
OvO_GBTSVM,10,2,,0.6451612903225806,"{'d1': 0.01, 'd2': 0.01, 'eps1': 0.01, 'eps2': 0.01}"
OvO_GBTSVM,7,2,,0.6451612903225806,"{'d1': 0.01, 'd2': 0.01, 'eps1': 0.01, 'eps2': 0.01}"
OVR_GBTSVM,5,3,,0.6451612903225806,"{'d1': 0.01, 'd2': 0.01, 'eps1': 0.01, 'eps2': 0.01}"
OvO_GBTSVM,5,3,,0.6451612903225806,"{'d1': 0.01, 'd2': 0.01, 'eps1': 0.01, 'eps2': 0.01}"
OVR_GBTSVM,10,3,,0.6451612903225806,"{'d1': 0.01, 'd2': 0.01, 'eps1': 0.01, 'eps2': 0.01}"
OvO_GBTSVM,2,3,,0.6451612903225806,"{'d1': 0.01, 'd2': 0.01, 'eps1': 0.01, 'eps2': 0.01}"
OvO_GBTSVM,2,2,,0.6451612903225806,"{'d1': 0.01, 'd2': 0.01, 'eps1': 0.01, 'eps2': 0.01}"
OVR_GBTSVM,1,3,,0.6451612903225806,"{'d1': 0.01, 'd2': 0.01, 'eps1': 0.01, 'eps2': 0.01}"
OvO_GBTSVM,1,3,,0.6451612903225806,"{'d1': 0.01, 'd2': 0.01, 'eps1': 0.01, 'eps2': 0.01}"
OVR_GBTSVM,5,1,,0.6129032258064516,"{'d1': 0.01, 'd2': 0.01, 'eps1': 0.01, 'eps2': 0.01}"
OvO_GBTSVM,7,1,,0.5806451612903226,"{'d1': 0.01, 'd2': 0.01, 'eps1': 0.01, 'eps2': 0.01}"
OvO_GBTSVM,1,2,,0.5806451612903226,"{'d1': 0.01, 'd2': 0.01, 'eps1': 0.01, 'eps2': 0.01}"
OVR_GBTSVM,1,1,,0.5483870967741935,"{'d1': 0.01, 'd2': 0.01, 'eps1': 0.01, 'eps2': 0.01}"
OvO_GBTSVM,5,1,,0.5483870967741935,"{'d1': 0.01, 'd2': 0.01, 'eps1': 0.01, 'eps2': 0.01}"
OVR_GBTSVM,7,1,,0.5483870967741935,"{'d1': 0.01, 'd2': 0.01, 'eps1': 0.01, 'eps2': 0.01}"
OVR_GBTSVM,2,1,,0.5483870967741935,"{'d1': 0.01, 'd2': 0.01, 'eps1': 0.01, 'eps2': 0.01}"
OvO_GBTSVM,2,1,,0.5483870967741935,"{'d1': 0.01, 'd2': 0.01, 'eps1': 0.01, 'eps2': 0.01}"
OvO_GBTSVM,10,1,,0.5483870967741935,"{'d1': 0.01, 'd2': 0.01, 'eps1': 0.01, 'eps2': 0.01}"
OVR_GBTSVM,10,1,,0.5161290322580645,"{'d1': 0.01, 'd2': 0.01, 'eps1': 0.01, 'eps2': 0.01}"
OvO_GBTSVM,1,1,,0.4838709677419355,"{'d1': 0.01, 'd2': 0.01, 'eps1': 0.01, 'eps2': 0.01}"
